gameweek,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,game_detail,season,league,possession_home,possession_away,shot_on_target_home,shot_on_target_away,saves_home,saves_away
29,Sat,2018-03-10,20:00,Nantes,,1–0,,Troyes,,Stade de la Beaujoire - Louis Fonteneau,https://fbref.com/en/matches/b0fe022e/Nantes-Troyes-March-10-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>58%</strong></div>,<div><strong>42%</strong></div>,<div>3 of 19 — <strong>16%</strong></div>,<div><strong>0%</strong> — 0 of 8</div>,<div>0 of 0 — <strong>%</strong></div>,<div><strong>66%</strong> — 2 of 3</div>
29,Sat,2018-03-10,20:00,Bordeaux,,0–0,,Angers,,Stade Matmut-Atlantique,https://fbref.com/en/matches/d1b26d7e/Bordeaux-Angers-March-10-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>63%</strong></div>,<div><strong>37%</strong></div>,<div>2 of 12 — <strong>17%</strong></div>,<div><strong>0%</strong> — 0 of 9</div>,<div>0 of 0 — <strong>%</strong></div>,<div><strong>100%</strong> — 2 of 2</div>
29,Sat,2018-03-10,20:00,Dijon,,1–1,,Amiens,,Stade Gaston Gérard,https://fbref.com/en/matches/d1d731a2/Dijon-Amiens-March-10-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>61%</strong></div>,<div><strong>39%</strong></div>,<div>3 of 10 — <strong>30%</strong></div>,<div><strong>40%</strong> — 4 of 10</div>,<div>3 of 4 — <strong>75%</strong></div>,<div><strong>66%</strong> — 2 of 3</div>
29,Sun,2018-03-11,15:00,Guingamp,,2–5,,Nice,,Stade du Roudourou,https://fbref.com/en/matches/91638e12/Guingamp-Nice-March-11-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>40%</strong></div>,<div><strong>60%</strong></div>,<div>5 of 11 — <strong>45%</strong></div>,<div><strong>29%</strong> — 5 of 17</div>,<div>0 of 5 — <strong>0%</strong></div>,<div><strong>100%</strong> — 5 of 5</div>
29,Sun,2018-03-11,17:00,Lyon,,1–0,,Caen,,Groupama Stadium,https://fbref.com/en/matches/46ea5f78/Lyon-Caen-March-11-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>67%</strong></div>,<div><strong>33%</strong></div>,<div>4 of 20 — <strong>20%</strong></div>,<div><strong>17%</strong> — 1 of 6</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
29,Sun,2018-03-11,21:00,Toulouse,,1–2,,Marseille,,Stadium Municipal,https://fbref.com/en/matches/156de528/Toulouse-Marseille-March-11-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>37%</strong></div>,<div><strong>63%</strong></div>,<div>4 of 10 — <strong>40%</strong></div>,<div><strong>39%</strong> — 9 of 23</div>,<div>7 of 9 — <strong>77%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
31,Wed,2018-03-14,17:00,Paris S-G,,2–1,,Angers,,Parc des Princes,https://fbref.com/en/matches/1075446a/Paris-Saint-Germain-Angers-March-14-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>65%</strong></div>,<div><strong>35%</strong></div>,<div>7 of 14 — <strong>50%</strong></div>,<div><strong>40%</strong> — 8 of 20</div>,<div>7 of 8 — <strong>87%</strong></div>,<div><strong>71%</strong> — 5 of 7</div>
30,Fri,2018-03-16,20:45,Monaco,,2–1,,Lille,,Stade Louis II.,https://fbref.com/en/matches/eaf475cd/Monaco-Lille-March-16-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>46%</strong></div>,<div><strong>54%</strong></div>,<div>4 of 10 — <strong>40%</strong></div>,<div><strong>36%</strong> — 5 of 14</div>,<div>4 of 5 — <strong>80%</strong></div>,<div><strong>50%</strong> — 2 of 4</div>
30,Sat,2018-03-17,17:00,Bordeaux,,0–2,,Rennes,,Stade Matmut-Atlantique,https://fbref.com/en/matches/c3a100c9/Bordeaux-Rennes-March-17-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>54%</strong></div>,<div><strong>46%</strong></div>,<div>2 of 9 — <strong>22%</strong></div>,<div><strong>50%</strong> — 3 of 6</div>,<div>1 of 3 — <strong>33%</strong></div>,<div><strong>100%</strong> — 2 of 2</div>
30,Sat,2018-03-17,20:00,Angers,,3–0,,Caen,,Stade Raymond Kopa,https://fbref.com/en/matches/1efc918c/Angers-Caen-March-17-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>42%</strong></div>,<div><strong>58%</strong></div>,<div>6 of 13 — <strong>46%</strong></div>,<div><strong>25%</strong> — 2 of 8</div>,<div>2 of 2 — <strong>100%</strong></div>,<div><strong>50%</strong> — 3 of 6</div>
30,Sat,2018-03-17,20:00,Montpellier,,2–2,,Dijon,,Stade de la Mosson,https://fbref.com/en/matches/561674e9/Montpellier-Dijon-March-17-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>53%</strong></div>,<div><strong>47%</strong></div>,<div>11 of 18 — <strong>61%</strong></div>,<div><strong>70%</strong> — 7 of 10</div>,<div>5 of 7 — <strong>71%</strong></div>,<div><strong>81%</strong> — 9 of 11</div>
30,Sat,2018-03-17,20:00,Toulouse,,2–2,,Strasbourg,,Stadium Municipal,https://fbref.com/en/matches/96ac40aa/Toulouse-Strasbourg-March-17-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>50%</strong></div>,<div><strong>50%</strong></div>,<div>6 of 11 — <strong>55%</strong></div>,<div><strong>25%</strong> — 3 of 12</div>,<div>2 of 3 — <strong>66%</strong></div>,<div><strong>66%</strong> — 4 of 6</div>
30,Sat,2018-03-17,20:00,Amiens,,1–1,,Troyes,,Stade de la Licorne,https://fbref.com/en/matches/d6fb7bb0/Amiens-Troyes-March-17-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>53%</strong></div>,<div><strong>47%</strong></div>,<div>0 of 7 — <strong>0%</strong></div>,<div><strong>40%</strong> — 4 of 10</div>,<div>4 of 4 — <strong>100%</strong></div>,<div><strong>%</strong> — 0 of 0</div>
30,Sun,2018-03-18,13:00,Nice,,1–2,,Paris S-G,,Stade de Nice,https://fbref.com/en/matches/79f2e4f8/Nice-Paris-Saint-Germain-March-18-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>41%</strong></div>,<div><strong>59%</strong></div>,<div>4 of 14 — <strong>29%</strong></div>,<div><strong>37%</strong> — 7 of 19</div>,<div>5 of 7 — <strong>71%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
30,Sun,2018-03-18,15:00,Metz,,1–1,,Nantes,,Stade Saint-Symphorien,https://fbref.com/en/matches/873112f0/Metz-Nantes-March-18-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>46%</strong></div>,<div><strong>54%</strong></div>,<div>4 of 8 — <strong>50%</strong></div>,<div><strong>24%</strong> — 4 of 17</div>,<div>3 of 4 — <strong>75%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
30,Sun,2018-03-18,17:00,Saint-Étienne,,2–0,,Guingamp,,Stade Geoffroy-Guichard,https://fbref.com/en/matches/7fad0623/Saint-Etienne-Guingamp-March-18-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>61%</strong></div>,<div><strong>39%</strong></div>,<div>6 of 16 — <strong>38%</strong></div>,<div><strong>33%</strong> — 3 of 9</div>,<div>3 of 3 — <strong>100%</strong></div>,<div><strong>66%</strong> — 4 of 6</div>
30,Sun,2018-03-18,21:00,Marseille,,2–3,,Lyon,,Orange Vélodrome,https://fbref.com/en/matches/3e2bdcb3/Choc-des-Olympiques-Marseille-Lyon-March-18-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>57%</strong></div>,<div><strong>43%</strong></div>,<div>5 of 10 — <strong>50%</strong></div>,<div><strong>55%</strong> — 6 of 11</div>,<div>4 of 6 — <strong>66%</strong></div>,<div><strong>60%</strong> — 3 of 5</div>
31,Sat,2018-03-31,17:00,Dijon,,1–3,,Marseille,,Stade Gaston Gérard,https://fbref.com/en/matches/29d23410/Dijon-Marseille-March-31-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>44%</strong></div>,<div><strong>56%</strong></div>,<div>2 of 12 — <strong>17%</strong></div>,<div><strong>33%</strong> — 3 of 9</div>,<div>1 of 3 — <strong>33%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>
31,Sun,2018-04-01,15:00,Guingamp,,2–1,,Bordeaux,,Stade du Roudourou,https://fbref.com/en/matches/513f5d21/Guingamp-Bordeaux-April-1-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>47%</strong></div>,<div><strong>53%</strong></div>,<div>6 of 14 — <strong>43%</strong></div>,<div><strong>36%</strong> — 5 of 14</div>,<div>4 of 5 — <strong>80%</strong></div>,<div><strong>66%</strong> — 4 of 6</div>
31,Sun,2018-04-01,17:00,Lille,,0–1,,Amiens,,Stade Pierre-Mauroy,https://fbref.com/en/matches/2071f6a8/Lille-Amiens-April-1-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>61%</strong></div>,<div><strong>39%</strong></div>,<div>3 of 15 — <strong>20%</strong></div>,<div><strong>20%</strong> — 2 of 10</div>,<div>1 of 2 — <strong>50%</strong></div>,<div><strong>100%</strong> — 3 of 3</div>
31,Sun,2018-04-01,17:00,Nantes,,0–3,,Saint-Étienne,,Stade de la Beaujoire - Louis Fonteneau,https://fbref.com/en/matches/4acf126f/Nantes-Saint-Etienne-April-1-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>53%</strong></div>,<div><strong>47%</strong></div>,<div>4 of 20 — <strong>20%</strong></div>,<div><strong>47%</strong> — 7 of 15</div>,<div>4 of 7 — <strong>57%</strong></div>,<div><strong>100%</strong> — 4 of 4</div>
31,Sun,2018-04-01,17:00,Strasbourg,,2–2,,Metz,,Stade de la Meinau,https://fbref.com/en/matches/b1286e22/Strasbourg-Metz-April-1-2018-Ligue-1,2017-2018,Ligue-1,<div><strong>51%</strong></div>,<div><strong>49%</strong></div>,<div>5 of 18 — <strong>28%</strong></div>,<div><strong>40%</strong> — 4 of 10</div>,<div>3 of 4 — <strong>75%</strong></div>,<div><strong>60%</strong> — 3 of 5</div>
